Numer of labeled samples:13969   AUC:0.989
Numer of labeled samples:13906   AUC:0.986
Numer of labeled samples:13960   AUC:0.989
Numer of labeled samples:13981   AUC:0.987
Numer of labeled samples:13966   AUC:0.990
Numer of labeled samples:13943   AUC:0.988
Numer of labeled samples:14044   AUC:0.987
Numer of labeled samples:13953   AUC:0.989
Numer of labeled samples:14036   AUC:0.990
Numer of labeled samples:13977   AUC:0.989
Numer of labeled samples:13951   AUC:0.989
Numer of labeled samples:13912   AUC:0.988
Numer of labeled samples:13955   AUC:0.988
Numer of labeled samples:13946   AUC:0.987
Numer of labeled samples:14045   AUC:0.988
Numer of labeled samples:13918   AUC:0.988
Numer of labeled samples:13895   AUC:0.987
Numer of labeled samples:13958   AUC:0.988
Numer of labeled samples:13985   AUC:0.988
Numer of labeled samples:13981   AUC:0.987
Numer of labeled samples:14064   AUC:0.989
Numer of labeled samples:13956   AUC:0.987
Numer of labeled samples:13930   AUC:0.988
Numer of labeled samples:14029   AUC:0.988
Numer of labeled samples:14009   AUC:0.988
Numer of labeled samples:14002   AUC:0.988
Numer of labeled samples:13945   AUC:0.990
Numer of labeled samples:14033   AUC:0.987
Numer of labeled samples:14121   AUC:0.989
Numer of labeled samples:14016   AUC:0.989
Numer of labeled samples:14051   AUC:0.991
Numer of labeled samples:14057   AUC:0.989
Numer of labeled samples:13927   AUC:0.987
Numer of labeled samples:14054   AUC:0.988
Numer of labeled samples:13964   AUC:0.987
Numer of labeled samples:13971   AUC:0.988
Numer of labeled samples:14039   AUC:0.986
Numer of labeled samples:13966   AUC:0.988
Numer of labeled samples:14008   AUC:0.988
Numer of labeled samples:13981   AUC:0.987
Numer of labeled samples:14153   AUC:0.990
Numer of labeled samples:14128   AUC:0.989
Numer of labeled samples:14157   AUC:0.989
Numer of labeled samples:14141   AUC:0.989
Numer of labeled samples:14135   AUC:0.989
Numer of labeled samples:14148   AUC:0.989
Numer of labeled samples:14135   AUC:0.988
Numer of labeled samples:14158   AUC:0.989
Numer of labeled samples:14166   AUC:0.988
Numer of labeled samples:14184   AUC:0.990
Numer of labeled samples:14200   AUC:0.989
Numer of labeled samples:14185   AUC:0.989
Numer of labeled samples:14202   AUC:0.989
Numer of labeled samples:14188   AUC:0.989
Numer of labeled samples:14201   AUC:0.988
Numer of labeled samples:14178   AUC:0.989
Numer of labeled samples:14207   AUC:0.989
Numer of labeled samples:14203   AUC:0.989
Numer of labeled samples:14197   AUC:0.988
Numer of labeled samples:14189   AUC:0.989
Numer of labeled samples:14213   AUC:0.988
Numer of labeled samples:14185   AUC:0.988
Numer of labeled samples:14198   AUC:0.988
Numer of labeled samples:14156   AUC:0.988
Numer of labeled samples:14214   AUC:0.987
Numer of labeled samples:14199   AUC:0.988
Numer of labeled samples:14181   AUC:0.988
Numer of labeled samples:14185   AUC:0.988
Numer of labeled samples:14237   AUC:0.989
Numer of labeled samples:14187   AUC:0.988
Numer of labeled samples:14231   AUC:0.988
Numer of labeled samples:14207   AUC:0.987
Numer of labeled samples:14249   AUC:0.988
Numer of labeled samples:14214   AUC:0.988
Numer of labeled samples:14239   AUC:0.988
Numer of labeled samples:14246   AUC:0.989
Numer of labeled samples:14222   AUC:0.988
Numer of labeled samples:14210   AUC:0.988
Numer of labeled samples:14241   AUC:0.987
Numer of labeled samples:14211   AUC:0.987
